drug,reaction,a,b,c,d,ROR,PRR
ACETAMINOPHEN,DRUG INTERACTION,1,2,12,4985,207.71,138.81
ACETAMINOPHEN,HYPOKALAEMIA,1,2,2,4995,1248.75,832.83
ACETAMINOPHEN,METABOLIC ACIDOSIS,1,2,1,4996,2498.0,1665.67
ACTEMRA,ABDOMINAL PAIN,4,436,23,4537,1.81,1.8
ACTEMRA,ABDOMINAL PAIN UPPER,3,437,13,4547,2.4,2.39
ACTEMRA,ACNE,1,439,6,4554,1.73,1.73
ACTEMRA,ADENOMA BENIGN,1,439,0,4560,,
ACTEMRA,ALANINE AMINOTRANSFERASE INCREASED,2,438,5,4555,4.16,4.15
ACTEMRA,ALOPECIA,2,438,14,4546,1.48,1.48
ACTEMRA,ANXIETY,1,439,16,4544,0.65,0.65
ACTEMRA,ARTHRALGIA,8,432,44,4516,1.9,1.88
ACTEMRA,ARTHRITIS,3,437,26,4534,1.2,1.2
ACTEMRA,ARTHRODESIS,1,439,0,4560,,
ACTEMRA,ARTHROPATHY,4,436,14,4546,2.98,2.96
ACTEMRA,ARTHROPOD BITE,1,439,4,4556,2.59,2.59
ACTEMRA,ASPARTATE AMINOTRANSFERASE INCREASED,2,438,5,4555,4.16,4.15
ACTEMRA,ASTHENIA,2,438,31,4529,0.67,0.67
ACTEMRA,BACK PAIN,3,437,24,4536,1.3,1.3
ACTEMRA,BASAL CELL CARCINOMA,2,438,5,4555,4.16,4.15
ACTEMRA,BLADDER NEOPLASM,1,439,0,4560,,
ACTEMRA,BLOOD CHOLESTEROL INCREASED,2,438,7,4553,2.97,2.96
ACTEMRA,BLOOD PARATHYROID HORMONE DECREASED,2,438,4,4556,5.2,5.18
ACTEMRA,BLOOD PRESSURE DIASTOLIC ABNORMAL,2,438,3,4557,6.94,6.91
ACTEMRA,BLOOD PRESSURE DIASTOLIC DECREASED,2,438,6,4554,3.47,3.45
ACTEMRA,BLOOD PRESSURE DIASTOLIC INCREASED,1,439,2,4558,5.19,5.18
ACTEMRA,BLOOD PRESSURE FLUCTUATION,2,438,1,4559,20.82,20.73
ACTEMRA,BLOOD PRESSURE INCREASED,2,438,35,4525,0.59,0.59
ACTEMRA,BLOOD PRESSURE SYSTOLIC ABNORMAL,2,438,3,4557,6.94,6.91
ACTEMRA,BLOOD PRESSURE SYSTOLIC INCREASED,4,436,19,4541,2.19,2.18
ACTEMRA,BLOOD URINE PRESENT,1,439,2,4558,5.19,5.18
ACTEMRA,BODY TEMPERATURE DECREASED,4,436,10,4550,4.17,4.15
ACTEMRA,BONE SWELLING,1,439,0,4560,,
ACTEMRA,BREAST INFLAMMATION,1,439,0,4560,,
ACTEMRA,BREATH SOUNDS ABNORMAL,2,438,7,4553,2.97,2.96
ACTEMRA,BRONCHITIS,1,439,21,4539,0.49,0.49
ACTEMRA,C-REACTIVE PROTEIN ABNORMAL,1,439,5,4555,2.08,2.07
ACTEMRA,C-REACTIVE PROTEIN INCREASED,3,437,5,4555,6.25,6.22
ACTEMRA,CHEILITIS,1,439,1,4559,10.38,10.36
ACTEMRA,CHEST PAIN,2,438,11,4549,1.89,1.88
ACTEMRA,CHROMATURIA,1,439,0,4560,,
ACTEMRA,CONDITION AGGRAVATED,2,438,34,4526,0.61,0.61
ACTEMRA,CONTRAINDICATED PRODUCT ADMINISTERED,2,438,6,4554,3.47,3.45
ACTEMRA,CONTUSION,2,438,17,4543,1.22,1.22
ACTEMRA,COUGH,2,438,53,4507,0.39,0.39
ACTEMRA,COVID-19,1,439,18,4542,0.57,0.58
ACTEMRA,CRYING,1,439,0,4560,,
ACTEMRA,CYSTITIS,1,439,2,4558,5.19,5.18
ACTEMRA,DEAFNESS,1,439,5,4555,2.08,2.07
ACTEMRA,DECREASED APPETITE,1,439,16,4544,0.65,0.65
ACTEMRA,DEPRESSION,1,439,11,4549,0.94,0.94
ACTEMRA,DERMATITIS,1,439,3,4557,3.46,3.45
ACTEMRA,DEVICE DISLOCATION,1,439,1,4559,10.38,10.36
ACTEMRA,DIARRHOEA,5,435,38,4522,1.37,1.36
ACTEMRA,DIARRHOEA HAEMORRHAGIC,1,439,0,4560,,
ACTEMRA,DISABILITY ASSESSMENT SCALE SCORE INCREASED,2,438,1,4559,20.82,20.73
ACTEMRA,DIVERTICULITIS,1,439,4,4556,2.59,2.59
ACTEMRA,DIZZINESS,4,436,35,4525,1.19,1.18
ACTEMRA,DRUG ERUPTION,2,438,4,4556,5.2,5.18
ACTEMRA,DRUG HYPERSENSITIVITY,3,437,34,4526,0.91,0.91
ACTEMRA,DRUG INEFFECTIVE,7,433,58,4502,1.25,1.25
ACTEMRA,DRUG INTOLERANCE,2,438,13,4547,1.6,1.59
ACTEMRA,DRUG TOLERANCE,1,439,4,4556,2.59,2.59
ACTEMRA,DRUG TOLERANCE DECREASED,1,439,2,4558,5.19,5.18
ACTEMRA,DYSKINESIA,1,439,3,4557,3.46,3.45
ACTEMRA,DYSLIPIDAEMIA,1,439,0,4560,,
ACTEMRA,DYSPEPSIA,1,439,2,4558,5.19,5.18
ACTEMRA,DYSPHAGIA,1,439,4,4556,2.59,2.59
ACTEMRA,DYSPNOEA,1,439,59,4501,0.17,0.18
ACTEMRA,EAR INFECTION,1,439,8,4552,1.3,1.3
ACTEMRA,EAR INFECTION FUNGAL,1,439,0,4560,,
ACTEMRA,EMOTIONAL DISORDER,1,439,4,4556,2.59,2.59
ACTEMRA,ENDOCRINE OPHTHALMOPATHY,1,439,0,4560,,
ACTEMRA,ERYTHEMA,2,438,17,4543,1.22,1.22
ACTEMRA,EYE INFECTION,2,438,2,4558,10.41,10.36
ACTEMRA,EYE PAIN,1,439,6,4554,1.73,1.73
ACTEMRA,EYELID DISORDER,1,439,0,4560,,
ACTEMRA,FALL,1,439,51,4509,0.2,0.2
ACTEMRA,FATIGUE,9,431,75,4485,1.25,1.24
ACTEMRA,FEEDING DISORDER,1,439,0,4560,,
ACTEMRA,FLATULENCE,1,439,2,4558,5.19,5.18
ACTEMRA,FOOT DEFORMITY,1,439,3,4557,3.46,3.45
ACTEMRA,FOOT FRACTURE,1,439,3,4557,3.46,3.45
ACTEMRA,GAIT DISTURBANCE,1,439,20,4540,0.52,0.52
ACTEMRA,GAIT INABILITY,1,439,6,4554,1.73,1.73
ACTEMRA,GASTROENTERITIS,1,439,4,4556,2.59,2.59
ACTEMRA,GASTROENTERITIS VIRAL,1,439,3,4557,3.46,3.45
ACTEMRA,GASTROINTESTINAL DISORDER,4,436,14,4546,2.98,2.96
ACTEMRA,GASTROOESOPHAGEAL REFLUX DISEASE,1,439,8,4552,1.3,1.3
ACTEMRA,GRANULOMA SKIN,2,438,3,4557,6.94,6.91
ACTEMRA,HAEMATOCHEZIA,2,438,3,4557,6.94,6.91
ACTEMRA,HAEMATURIA,1,439,2,4558,5.19,5.18
ACTEMRA,HAEMORRHAGE,1,439,12,4548,0.86,0.86
ACTEMRA,HAEMORRHOIDAL HAEMORRHAGE,1,439,0,4560,,
ACTEMRA,HAEMORRHOIDS,1,439,1,4559,10.38,10.36
ACTEMRA,HEADACHE,6,434,45,4515,1.39,1.38
ACTEMRA,HEALTH ASSESSMENT QUESTIONNAIRE SCORE INCREASED,1,439,1,4559,10.38,10.36
ACTEMRA,HEART RATE DECREASED,3,437,8,4552,3.91,3.89
ACTEMRA,HEART RATE INCREASED,2,438,17,4543,1.22,1.22
ACTEMRA,HEPATIC ENZYME INCREASED,2,438,10,4550,2.08,2.07
ACTEMRA,HEPATITIS,2,438,5,4555,4.16,4.15
ACTEMRA,HEPATITIS B VIRUS TEST POSITIVE,1,439,0,4560,,
ACTEMRA,HYPERCALCAEMIA,2,438,4,4556,5.2,5.18
ACTEMRA,HYPERCHOLESTEROLAEMIA,1,439,0,4560,,
ACTEMRA,HYPERHIDROSIS,1,439,13,4547,0.8,0.8
ACTEMRA,HYPERSENSITIVITY,4,436,22,4538,1.89,1.88
ACTEMRA,HYPERTENSION,2,438,25,4535,0.83,0.83
ACTEMRA,HYPOAESTHESIA,1,439,12,4548,0.86,0.86
ACTEMRA,HYPOTENSION,4,436,22,4538,1.89,1.88
ACTEMRA,HYPOTHYROIDISM,1,439,4,4556,2.59,2.59
ACTEMRA,ILL-DEFINED DISORDER,1,439,6,4554,1.73,1.73
ACTEMRA,IMMUNODEFICIENCY,1,439,2,4558,5.19,5.18
ACTEMRA,INCORRECT DOSE ADMINISTERED,1,439,15,4545,0.69,0.69
ACTEMRA,INFECTION,1,439,13,4547,0.8,0.8
ACTEMRA,INFLAMMATION,3,437,10,4550,3.12,3.11
ACTEMRA,INFLUENZA,2,438,34,4526,0.61,0.61
ACTEMRA,INFLUENZA LIKE ILLNESS,1,439,5,4555,2.08,2.07
ACTEMRA,INFUSION RELATED REACTION,5,435,8,4552,6.54,6.48
ACTEMRA,INFUSION SITE BRUISING,1,439,0,4560,,
ACTEMRA,INFUSION SITE SWELLING,1,439,1,4559,10.38,10.36
ACTEMRA,INJECTION SITE EXTRAVASATION,1,439,1,4559,10.38,10.36
ACTEMRA,INJECTION SITE MASS,1,439,1,4559,10.38,10.36
ACTEMRA,INSOMNIA,4,436,31,4529,1.34,1.34
ACTEMRA,JOINT DISLOCATION,1,439,3,4557,3.46,3.45
ACTEMRA,JOINT RANGE OF MOTION DECREASED,1,439,2,4558,5.19,5.18
ACTEMRA,JOINT STIFFNESS,1,439,2,4558,5.19,5.18
ACTEMRA,JOINT SWELLING,7,433,18,4542,4.08,4.03
ACTEMRA,LABYRINTHITIS,1,439,0,4560,,
ACTEMRA,LETHARGY,1,439,4,4556,2.59,2.59
ACTEMRA,LIMB INJURY,2,438,3,4557,6.94,6.91
ACTEMRA,LOCALISED INFECTION,1,439,6,4554,1.73,1.73
ACTEMRA,LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,2,438,10,4550,2.08,2.07
ACTEMRA,LYME DISEASE,1,439,2,4558,5.19,5.18
ACTEMRA,MALAISE,3,437,49,4511,0.63,0.63
ACTEMRA,MEAN CELL HAEMOGLOBIN INCREASED,1,439,0,4560,,
ACTEMRA,MEMORY IMPAIRMENT,1,439,14,4546,0.74,0.74
ACTEMRA,MENOPAUSE,1,439,0,4560,,
ACTEMRA,MENTAL DISORDER,1,439,2,4558,5.19,5.18
ACTEMRA,MIXED ANXIETY AND DEPRESSIVE DISORDER,1,439,0,4560,,
ACTEMRA,MOBILITY DECREASED,1,439,11,4549,0.94,0.94
ACTEMRA,MOVEMENT DISORDER,1,439,5,4555,2.08,2.07
ACTEMRA,MUSCLE SPASMS,2,438,8,4552,2.6,2.59
ACTEMRA,MUSCULOSKELETAL DISCOMFORT,1,439,4,4556,2.59,2.59
ACTEMRA,MUSCULOSKELETAL DISORDER,1,439,1,4559,10.38,10.36
ACTEMRA,MUSCULOSKELETAL STIFFNESS,4,436,9,4551,4.64,4.61
ACTEMRA,MYALGIA,2,438,16,4544,1.3,1.3
ACTEMRA,MYELOPATHY,1,439,1,4559,10.38,10.36
ACTEMRA,NASAL CONGESTION,2,438,20,4540,1.04,1.04
ACTEMRA,NASAL ULCER,1,439,0,4560,,
ACTEMRA,NASOPHARYNGITIS,4,436,56,4504,0.74,0.74
ACTEMRA,NAUSEA,6,434,44,4516,1.42,1.41
ACTEMRA,NEOPLASM MALIGNANT,1,439,7,4553,1.48,1.48
ACTEMRA,NEPHROLITHIASIS,2,438,3,4557,6.94,6.91
ACTEMRA,NERVE COMPRESSION,1,439,0,4560,,
ACTEMRA,NODULE,1,439,1,4559,10.38,10.36
ACTEMRA,NON-CARDIAC CHEST PAIN,1,439,0,4560,,
ACTEMRA,OBESITY,1,439,8,4552,1.3,1.3
ACTEMRA,OEDEMA PERIPHERAL,2,438,11,4549,1.89,1.88
ACTEMRA,OROPHARYNGEAL PAIN,4,436,23,4537,1.81,1.8
ACTEMRA,OSTEOARTHRITIS,2,438,13,4547,1.6,1.59
ACTEMRA,OSTEOPOROSIS,1,439,6,4554,1.73,1.73
ACTEMRA,OVERWEIGHT,1,439,0,4560,,
ACTEMRA,OXYGEN SATURATION DECREASED,4,436,7,4553,5.97,5.92
ACTEMRA,PAIN,9,431,53,4507,1.78,1.76
ACTEMRA,PAIN IN EXTREMITY,3,437,37,4523,0.84,0.84
ACTEMRA,PALPITATIONS,2,438,9,4551,2.31,2.3
ACTEMRA,PANNICULITIS,2,438,4,4556,5.2,5.18
ACTEMRA,PARAESTHESIA,1,439,15,4545,0.69,0.69
ACTEMRA,PELVIC PAIN,1,439,0,4560,,
ACTEMRA,PERIARTHRITIS,1,439,0,4560,,
ACTEMRA,PERIPHERAL SWELLING,4,436,24,4536,1.73,1.73
ACTEMRA,PNEUMONIA,2,438,46,4514,0.45,0.45
ACTEMRA,PRESCRIBED UNDERDOSE,2,438,5,4555,4.16,4.15
ACTEMRA,PRODUCT ADMINISTRATION ERROR,1,439,2,4558,5.19,5.18
ACTEMRA,PRODUCT USE ISSUE,1,439,16,4544,0.65,0.65
ACTEMRA,PRODUCTIVE COUGH,1,439,21,4539,0.49,0.49
ACTEMRA,PRURITUS,4,436,27,4533,1.54,1.54
ACTEMRA,PSORIASIS,1,439,10,4550,1.04,1.04
ACTEMRA,PULMONARY FIBROSIS,2,438,5,4555,4.16,4.15
ACTEMRA,PYREXIA,4,436,31,4529,1.34,1.34
ACTEMRA,RASH,5,435,24,4536,2.17,2.16
ACTEMRA,RASH PRURITIC,2,438,4,4556,5.2,5.18
ACTEMRA,RECTAL HAEMORRHAGE,1,439,3,4557,3.46,3.45
ACTEMRA,RED BLOOD CELL SEDIMENTATION RATE INCREASED,2,438,7,4553,2.97,2.96
ACTEMRA,RENAL DISORDER,1,439,4,4556,2.59,2.59
ACTEMRA,RENAL FAILURE,1,439,0,4560,,
ACTEMRA,RESPIRATORY RATE INCREASED,1,439,8,4552,1.3,1.3
ACTEMRA,RESPIRATORY TRACT INFECTION,1,439,8,4552,1.3,1.3
ACTEMRA,RHEUMATOID ARTHRITIS,4,436,27,4533,1.54,1.54
ACTEMRA,RHEUMATOID FACTOR POSITIVE,2,438,4,4556,5.2,5.18
ACTEMRA,RHEUMATOID NODULE,2,438,4,4556,5.2,5.18
ACTEMRA,RHINORRHOEA,3,437,11,4549,2.84,2.83
ACTEMRA,SARS-COV-2 TEST POSITIVE,1,439,2,4558,5.19,5.18
ACTEMRA,SCIATICA,1,439,3,4557,3.46,3.45
ACTEMRA,SKIN ABRASION,1,439,1,4559,10.38,10.36
ACTEMRA,SKIN DISORDER,2,438,1,4559,20.82,20.73
ACTEMRA,SKIN LACERATION,1,439,3,4557,3.46,3.45
ACTEMRA,SKIN NECROSIS,2,438,3,4557,6.94,6.91
ACTEMRA,SKIN NEOPLASM EXCISION,1,439,1,4559,10.38,10.36
ACTEMRA,SKIN ULCER,4,436,7,4553,5.97,5.92
ACTEMRA,SOMNOLENCE,1,439,11,4549,0.94,0.94
ACTEMRA,SPINAL OSTEOARTHRITIS,1,439,2,4558,5.19,5.18
ACTEMRA,SPLINTER,1,439,0,4560,,
ACTEMRA,STAPHYLOCOCCAL INFECTION,1,439,3,4557,3.46,3.45
ACTEMRA,STOMATITIS,1,439,5,4555,2.08,2.07
ACTEMRA,STRESS,1,439,17,4543,0.61,0.61
ACTEMRA,SWELLING,2,438,9,4551,2.31,2.3
ACTEMRA,SWELLING OF EYELID,1,439,2,4558,5.19,5.18
ACTEMRA,SYNOVIAL CYST,1,439,1,4559,10.38,10.36
ACTEMRA,SYNOVITIS,3,437,5,4555,6.25,6.22
ACTEMRA,TENOSYNOVITIS STENOSANS,1,439,0,4560,,
ACTEMRA,THERAPEUTIC PRODUCT EFFECT DECREASED,4,436,12,4548,3.48,3.45
ACTEMRA,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,1,439,10,4550,1.04,1.04
ACTEMRA,THERAPEUTIC RESPONSE DECREASED,1,439,13,4547,0.8,0.8
ACTEMRA,THERAPY PARTIAL RESPONDER,1,439,1,4559,10.38,10.36
ACTEMRA,THIRST,1,439,0,4560,,
ACTEMRA,THROAT TIGHTNESS,1,439,4,4556,2.59,2.59
ACTEMRA,TOOTH ABSCESS,1,439,2,4558,5.19,5.18
ACTEMRA,TOOTH DISORDER,1,439,2,4558,5.19,5.18
ACTEMRA,TOOTH FRACTURE,1,439,1,4559,10.38,10.36
ACTEMRA,TOOTH INFECTION,1,439,5,4555,2.08,2.07
ACTEMRA,TOXIC SHOCK SYNDROME,1,439,0,4560,,
ACTEMRA,TRANSIENT ISCHAEMIC ATTACK,1,439,2,4558,5.19,5.18
ACTEMRA,TREATMENT FAILURE,2,438,12,4548,1.73,1.73
ACTEMRA,ULCER,2,438,5,4555,4.16,4.15
ACTEMRA,URINARY BLADDER HERNIATION,1,439,0,4560,,
ACTEMRA,URTICARIA,1,439,18,4542,0.57,0.58
ACTEMRA,VAGINAL INFECTION,1,439,0,4560,,
ACTEMRA,VASCULAR ACCESS SITE PAIN,1,439,0,4560,,
ACTEMRA,VASCULAR ACCESS SITE SWELLING,1,439,0,4560,,
ACTEMRA,VASCULITIS,2,438,0,4560,,
ACTEMRA,VISION BLURRED,1,439,12,4548,0.86,0.86
ACTEMRA,VITAMIN D DECREASED,1,439,0,4560,,
ACTEMRA,VOMITING,5,435,32,4528,1.63,1.62
ACTEMRA,WEIGHT DECREASED,5,435,57,4503,0.91,0.91
ACTEMRA,WEIGHT FLUCTUATION,1,439,1,4559,10.38,10.36
ACTEMRA,WEIGHT INCREASED,7,433,41,4519,1.78,1.77
ACTEMRA,WOUND INFECTION,1,439,1,4559,10.38,10.36
ACTEMRA,WRIST DEFORMITY,1,439,0,4560,,
ADALIMUMAB,PALMOPLANTAR PUSTULOSIS,1,3,0,4996,,
ADALIMUMAB,PYODERMA GANGRENOSUM,1,3,0,4996,,
ADALIMUMAB,RHEUMATOID ARTHRITIS,1,3,30,4966,55.18,41.63
ADALIMUMAB,SACROILIITIS,1,3,0,4996,,
ALBUTEROL,AREFLEXIA,1,12,1,4986,415.5,383.62
ALBUTEROL,BRAIN SCAN ABNORMAL,1,12,1,4986,415.5,383.62
ALBUTEROL,CEREBRAL ARTERY THROMBOSIS,1,12,1,4986,415.5,383.62
ALBUTEROL,CEREBROVASCULAR ACCIDENT,1,12,6,4981,69.18,63.94
ALBUTEROL,DISEASE RECURRENCE,1,12,4,4983,103.81,95.9
ALBUTEROL,FACIAL PARALYSIS,1,12,1,4986,415.5,383.62
ALBUTEROL,HEMIPLEGIA,1,12,2,4985,207.71,191.81
ALBUTEROL,ISCHAEMIC STROKE,1,12,1,4986,415.5,383.62
ALBUTEROL,NAUSEA,1,12,49,4938,8.4,7.83
ALBUTEROL,PRODUCT USE ISSUE,1,12,16,4971,25.89,23.98
ALBUTEROL,RESPIRATORY DISTRESS,1,12,5,4982,83.03,76.72
ALBUTEROL,RESPIRATORY FAILURE,1,12,1,4986,415.5,383.62
ALEMTUZUMAB,ACTINIC KERATOSIS,1,96,0,4903,,
ALEMTUZUMAB,ACUTE SINUSITIS,1,96,0,4903,,
ALEMTUZUMAB,ANAEMIA POSTOPERATIVE,1,96,0,4903,,
ALEMTUZUMAB,ANAL FISSURE,1,96,0,4903,,
ALEMTUZUMAB,ANAL INFECTION,1,96,0,4903,,
ALEMTUZUMAB,ARTHRALGIA,1,96,51,4852,0.99,0.99
ALEMTUZUMAB,AUTOIMMUNE HAEMOLYTIC ANAEMIA,1,96,2,4901,25.53,25.27
ALEMTUZUMAB,BACK PAIN,1,96,26,4877,1.95,1.94
ALEMTUZUMAB,BLOOD THYROID STIMULATING HORMONE DECREASED,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,BODY TEMPERATURE INCREASED,1,96,7,4896,7.29,7.22
ALEMTUZUMAB,BRONCHIAL WALL THICKENING,1,96,0,4903,,
ALEMTUZUMAB,BRONCHITIS,1,96,21,4882,2.42,2.41
ALEMTUZUMAB,C-REACTIVE PROTEIN INCREASED,1,96,7,4896,7.29,7.22
ALEMTUZUMAB,CHILLS,1,96,9,4894,5.66,5.62
ALEMTUZUMAB,CONSTIPATION,1,96,13,4890,3.92,3.89
ALEMTUZUMAB,COUGH,1,96,54,4849,0.94,0.94
ALEMTUZUMAB,DECREASED APPETITE,1,96,16,4887,3.18,3.16
ALEMTUZUMAB,DEPRESSION,1,96,11,4892,4.63,4.6
ALEMTUZUMAB,DERMATOPHYTOSIS,1,96,0,4903,,
ALEMTUZUMAB,DIARRHOEA,1,96,42,4861,1.21,1.2
ALEMTUZUMAB,DRY SKIN,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,DYSPHAGIA,1,96,4,4899,12.76,12.64
ALEMTUZUMAB,DYSPHONIA,1,96,7,4896,7.29,7.22
ALEMTUZUMAB,DYSPNOEA EXERTIONAL,1,96,9,4894,5.66,5.62
ALEMTUZUMAB,ELECTROCARDIOGRAM QT PROLONGED,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,FALL,1,96,51,4852,0.99,0.99
ALEMTUZUMAB,FATIGUE,2,95,82,4821,1.24,1.23
ALEMTUZUMAB,FOLLICULITIS,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,FOOT DEFORMITY,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,GAIT DISTURBANCE,1,96,20,4883,2.54,2.53
ALEMTUZUMAB,GASTROENTERITIS,1,96,4,4899,12.76,12.64
ALEMTUZUMAB,GASTROINTESTINAL DISORDER,1,96,17,4886,2.99,2.97
ALEMTUZUMAB,GRAVES' DISEASE,1,96,0,4903,,
ALEMTUZUMAB,HEADACHE,3,94,48,4855,3.23,3.16
ALEMTUZUMAB,HEPATIC ENZYME INCREASED,1,96,11,4892,4.63,4.6
ALEMTUZUMAB,HERPES ZOSTER,1,96,8,4895,6.37,6.32
ALEMTUZUMAB,HYPERGLYCAEMIA,1,96,2,4901,25.53,25.27
ALEMTUZUMAB,HYPERTHYROIDISM,2,95,1,4902,103.2,101.09
ALEMTUZUMAB,HYPOAESTHESIA,1,96,12,4891,4.25,4.21
ALEMTUZUMAB,HYPOKALAEMIA,1,96,2,4901,25.53,25.27
ALEMTUZUMAB,HYPONATRAEMIA,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,HYPOXIA,1,96,0,4903,,
ALEMTUZUMAB,IMMUNE THROMBOCYTOPENIA,2,95,1,4902,103.2,101.09
ALEMTUZUMAB,INSOMNIA,1,96,34,4869,1.49,1.49
ALEMTUZUMAB,JOINT RANGE OF MOTION DECREASED,1,96,2,4901,25.53,25.27
ALEMTUZUMAB,LARGE INTESTINE POLYP,1,96,0,4903,,
ALEMTUZUMAB,LIVER FUNCTION TEST ABNORMAL,1,96,2,4901,25.53,25.27
ALEMTUZUMAB,LOWER GASTROINTESTINAL HAEMORRHAGE,1,96,0,4903,,
ALEMTUZUMAB,LUMBAR RADICULOPATHY,1,96,0,4903,,
ALEMTUZUMAB,LUMBAR SPINAL STENOSIS,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,MUSCLE SPASMS,1,96,9,4894,5.66,5.62
ALEMTUZUMAB,MUSCLE SPASTICITY,1,96,0,4903,,
ALEMTUZUMAB,MUSCULAR WEAKNESS,1,96,11,4892,4.63,4.6
ALEMTUZUMAB,MYALGIA,1,96,17,4886,2.99,2.97
ALEMTUZUMAB,NASOPHARYNGITIS,1,96,59,4844,0.86,0.86
ALEMTUZUMAB,NAUSEA,1,96,49,4854,1.03,1.03
ALEMTUZUMAB,NEURALGIA,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,NEUTROPENIA,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,OEDEMA PERIPHERAL,1,96,12,4891,4.25,4.21
ALEMTUZUMAB,OROPHARYNGEAL PAIN,1,96,26,4877,1.95,1.94
ALEMTUZUMAB,OSTEOPENIA,1,96,5,4898,10.2,10.11
ALEMTUZUMAB,PAIN IN EXTREMITY,1,96,39,4864,1.3,1.3
ALEMTUZUMAB,PARAESTHESIA,1,96,15,4888,3.39,3.37
ALEMTUZUMAB,PERIPHERAL COLDNESS,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,PERIPHERAL SWELLING,1,96,27,4876,1.88,1.87
ALEMTUZUMAB,PNEUMONIA,1,96,47,4856,1.08,1.08
ALEMTUZUMAB,PNEUMONIA LEGIONELLA,1,96,0,4903,,
ALEMTUZUMAB,PNEUMONITIS,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,POST PROCEDURAL FEVER,1,96,0,4903,,
ALEMTUZUMAB,PROSTATITIS,1,96,0,4903,,
ALEMTUZUMAB,PULMONARY CONGESTION,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,PYREXIA,1,96,34,4869,1.49,1.49
ALEMTUZUMAB,RADIUS FRACTURE,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,RASH,1,96,28,4875,1.81,1.81
ALEMTUZUMAB,RESPIRATORY DISORDER,1,96,4,4899,12.76,12.64
ALEMTUZUMAB,SEBORRHOEIC KERATOSIS,1,96,0,4903,,
ALEMTUZUMAB,SEPSIS,1,96,7,4896,7.29,7.22
ALEMTUZUMAB,SPINAL CLAUDICATION,1,96,0,4903,,
ALEMTUZUMAB,STRESS URINARY INCONTINENCE,1,96,0,4903,,
ALEMTUZUMAB,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,1,96,0,4903,,
ALEMTUZUMAB,TACHYCARDIA,2,95,8,4895,12.88,12.64
ALEMTUZUMAB,TACHYPNOEA,1,96,0,4903,,
ALEMTUZUMAB,THROMBOCYTOPENIA,1,96,6,4897,8.5,8.42
ALEMTUZUMAB,THROMBOPHLEBITIS,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,THYROID DISORDER,1,96,3,4900,17.01,16.85
ALEMTUZUMAB,TOOTH FRACTURE,1,96,1,4902,51.06,50.55
ALEMTUZUMAB,TROPONIN INCREASED,1,96,0,4903,,
ALEMTUZUMAB,URINARY HESITATION,1,96,0,4903,,
ALEMTUZUMAB,URINARY RETENTION POSTOPERATIVE,1,96,0,4903,,
ALEMTUZUMAB,URINARY TRACT INFECTION,1,96,15,4888,3.39,3.37
ALEMTUZUMAB,WHITE BLOOD CELL COUNT INCREASED,1,96,7,4896,7.29,7.22
ALTACE,AREFLEXIA,1,10,1,4988,498.8,453.55
ALTACE,BRAIN SCAN ABNORMAL,1,10,1,4988,498.8,453.55
ALTACE,CEREBRAL ARTERY THROMBOSIS,1,10,1,4988,498.8,453.55
ALTACE,CEREBROVASCULAR ACCIDENT,1,10,6,4983,83.05,75.59
ALTACE,DISEASE RECURRENCE,1,10,4,4985,124.63,113.39
ALTACE,FACIAL PARALYSIS,1,10,1,4988,498.8,453.55
ALTACE,HEMIPLEGIA,1,10,2,4987,249.35,226.77
ALTACE,ISCHAEMIC STROKE,1,10,1,4988,498.8,453.55
ALTACE,NAUSEA,1,10,49,4940,10.08,9.26
ALTACE,RESPIRATORY DISTRESS,1,10,5,4984,99.68,90.71
ALTACE,RESPIRATORY FAILURE,1,10,1,4988,498.8,453.55
AMLODIPINE,BALANCE DISORDER,1,24,5,4970,41.42,39.8
AMLODIPINE,BLADDER DISORDER,1,24,2,4973,103.6,99.5
AMLODIPINE,BLOOD CALCIUM DECREASED,1,24,2,4973,103.6,99.5
AMLODIPINE,COGNITIVE DISORDER,1,24,5,4970,41.42,39.8
AMLODIPINE,CONSTIPATION,1,24,13,4962,15.9,15.31
AMLODIPINE,CREATININE RENAL CLEARANCE DECREASED,1,24,1,4974,207.25,199.0
AMLODIPINE,CREATININE RENAL CLEARANCE INCREASED,1,24,1,4974,207.25,199.0
AMLODIPINE,DEMENTIA,1,24,1,4974,207.25,199.0
AMLODIPINE,DEPRESSED LEVEL OF CONSCIOUSNESS,1,24,4,4971,51.78,49.75
